timesteps,avg_reward
10000,0.016715026
20000,0.0035049964
30000,0.0011250002
40000,0.0034499997
50000,0.0014400008
60000,0.0024100004
70000,0.0036699947
80000,0.0017599983
90000,0.002444998
100000,0.0015450013
110000,0.002804998
120000,0.0031249947
130000,0.0030049935
140000,0.001175
150000,0.003479993
160000,0.0015700003
170000,0.0007000008
180000,0.0026399982
190000,0.000735001
200000,0.0017249996
